"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1960","5.17","9.81","6.15","0.59","0.92","0.05","0.24","0.00","0.29","0.38","4.80","2.18","30.58"
"1961","1.00","4.07","4.21","3.00","1.56","0.95","0.32","0.53","1.41","2.26","2.01","1.56","22.88"
"1962","2.91","12.83","5.50","1.26","1.07","0.04","0.21","0.28","0.11","8.34","2.28","3.66","38.49"
"1963","5.73","7.62","4.64","7.80","1.82","2.64","T","0.20","0.98","1.90","8.26","0.91","42.50"
"1964","4.89","0.42","3.24","1.59","3.00","0.92","0.03","0.04","0.06","0.76","5.05","27.55","47.55"
"1965","7.74","0.85","1.43","2.22","0.42","0.35","0.78","2.56","1.47","0.45","8.09","6.24","32.60"
"1966","2.63","1.98","1.90","1.08","0.70","0.12","0.07","0.00","0.48","0.08","6.15","7.36","22.55"
"1967","11.40","0.44","10.95","4.27","1.43","1.42","0.00","0.53","0.85","1.37","2.18","4.32","39.16"
"1968","5.26","4.89","3.41","0.40","0.81","0.55","T","1.18","0.20","1.74","4.32","7.99","30.75"
"1969","22.82","9.28","1.96","1.56","0.15","2.50","0.10","0.00","0.17","2.14","1.40","9.26","51.34"
"1970","15.27","2.45","1.93","1.60","0.24","2.17","T","0.00","0.20","1.59","7.83","8.03","41.31"
"1971","2.20","0.91","6.18","1.67","1.76","0.88","0.17","0.30","0.88","0.75","3.71","6.89","26.30"
"1972","2.88","3.13","1.19","3.05","0.50","1.36","0.02","0.17","1.32","2.07","4.77","4.45","24.91"
"1973","7.51","3.89","1.97","0.96","0.96","0.58","0.02","1.44","0.28","1.26","7.80","5.12","31.79"
"1974","4.16","2.03","7.26","2.24","0.12","T","2.66","0.30","0.02","1.14","2.07","2.65","24.65"
"1975","2.15","7.26","5.70","2.26","0.29","0.83","0.04","1.16","0.72","6.67","1.30","0.28","28.66"
"1976","0.50","2.01","1.11","0.25","0.07","0.21","0.15","1.96","1.07","1.05","0.67","0.29","9.34"
"1977","1.07","2.96","0.62"," ","1.50","0.41","0.06","0.04","0.15","0.53","3.91","8.89","20.14"
"1978","7.05","4.35","1.04","1.88","0.55","0.26","T"," ","0.57","T","1.58","2.76","20.04"
"1979","2.90","5.25","2.65","1.32","1.76","0.20","0.49","0.41","0.06","3.60","1.16","6.75","26.55"
"1980","14.89","11.07","3.39","2.57","1.10","0.44","1.01","0.04","0.39","1.40","0.93","2.91","40.14"
"1981","6.75","2.08","3.80","0.76","2.42","T","0.00","T","0.51","5.03","13.55","11.76","46.66"
"1982","9.54","4.94","9.68","6.71","0.44","2.09","0.18","0.51","4.78","4.69","7.33","6.72","57.61"
"1983","6.46","8.15","8.60","2.58","0.35","0.55","0.13","1.16","2.26","1.50","11.19","8.85","51.78"
"1984","0.73","4.22","2.68","1.90","0.55","1.47","0.34","0.13","0.51","3.34","9.25","1.40","26.52"
"1985","0.35","1.90","5.90","0.14","T","0.39","0.21","0.11","1.44","1.95","7.29","4.05","23.73"
"1986","5.54","22.25","6.32","1.12","1.09","0.41","0.94","0.02","3.33","0.11","0.63","0.48","42.24"
